Age,LDTAcc,RT,AttentionCheck,AgeOfMachine,TrialN,ProbeType,ProbePosition,SubjectFreq,SubjectLength,Browser,ProbeFrequency,ProbeCosine,ProbeWord,HasCheck,StimType,StimID,ReadingTime,Condition,OS,fullSentence,Participant
31,1,937,0,2,21,NONCE,AFTER-VP,3.671694735,6,Chrome,NA,NA,MAFTS,0,experimental,38,2333,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every sailor definitely should have known the risk, mentions The Sun.",1
31,1,1034.1,0,2,22,UNREL,AFTER-VP,3.001120593,6,Chrome,3.930647709,0.092758339,TUTOR,0,experimental,43,2350.5,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every grocer certainly should have vetoed the proposal, mentions The Telegraph.",1
31,1,982.5,0,2,23,REL,AFTER-VP,4.78505379,8,Chrome,4.668647528,0.229238232,ESSAY,0,experimental,24,2333.7,REL-AFTER-VP,MacIntel,"Given the change in the law, every graduate certainly should have contacted the council, suggests The Guardian.",1
31,1,856.7,0,2,27,UNREL,AFTER-V,3.681799882,10,Chrome,4.022054607,-3.5711e-5,TRUNK,0,experimental,46,2150.5,UNREL-AFTER-V,MacIntel,"Given the change in the law, every footballer definitely should have told the truth, mentions The Times.",1
31,1,965.8,0,2,29,UNREL,AFTER-VP,3.96226586,7,Chrome,3.755853299,0.012195619,MODEM,0,experimental,25,2300.1,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every athlete obviously should have declared the affiliation, claims The Telegraph.",1
31,1,1033.3000000000002,0,2,30,NONCE,AFTER-VP,3.672348826,8,Chrome,NA,NA,YURFS,0,experimental,50,2234.9,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every comedian obviously should have considered the damage, says The Sun.",1
31,1,1084.1000000000001,1,2,34,REL,AFTER-V,4.064504628,7,Chrome,3.354276001,0.363666985,BROOM,1,experimental,27,1050.3,REL-AFTER-V,MacIntel,"Given the change in the law, every cleaner clearly should have discarded the item, claims The BBC.",1
31,1,1015.7,1,2,37,NONCE,AFTER-V,2.794650654,7,Chrome,NA,NA,DOOPS,1,experimental,23,1616.7,NONCE-AFTER-V,MacIntel,"Given the change in the law, every trucker obviously should have notified the firm, suggests The Independent.",1
31,1,766.8000000000001,0,2,41,UNREL,AFTER-V,3.087558969,8,Chrome,3.929769388,0.095724535,SHARK,0,experimental,16,1532.5,UNREL-AFTER-V,MacIntel,"Given the change in the law, every motorist certainly should have received the letter, suggests The Times.",1
31,1,836.7,0,2,43,REL,AFTER-VP,5.617442386,7,Chrome,5.350430177,0.291918533,BOARD,0,experimental,42,4433.8,REL-AFTER-VP,MacIntel,"Given the change in the law, every company definitely should have announced the appointment, mentions The Guardian.",1
31,1,832.2,1,2,44,REL,AFTER-VP,3.927682114,9,Chrome,5.108336861,0.581022535,STAGE,1,experimental,6,2533.3,REL-AFTER-VP,MacIntel,"Given the change in the law, every performer obviously should have signed the petition, reports The Guardian.",1
31,1,882.6,0,2,45,UNREL,AFTER-V,2.761427779,7,Chrome,4.205675385,0.042865261,RADAR,0,experimental,34,1616.9,UNREL-AFTER-V,MacIntel,"Given the change in the law, every caterer certainly should have amended the wording, claims The Times.",1
31,1,1000.9999999999999,0,2,46,NONCE,AFTER-V,3.583221526,11,Chrome,NA,NA,GELKS,0,experimental,35,1752.8,NONCE-AFTER-V,MacIntel,"Given the change in the law, every commentator clearly should have condoned the sanction, claims The Independent.",1
31,1,917.1,0,2,48,NONCE,AFTER-V,4.382518198,9,Chrome,NA,NA,FLERG,0,experimental,11,1833.3999999999999,NONCE-AFTER-V,MacIntel,"Given the change in the law, every passenger definitely should have demanded the refund, reports The Independent.",1
31,1,1013.6,0,2,52,NONCE,AFTER-VP,3.485497116,5,Chrome,NA,NA,BESKS,0,experimental,26,3599.8,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every vicar certainly should have obeyed the decision, claims The Sun.",1
31,1,803.9,0,2,53,UNREL,AFTER-VP,4.216284055,12,Chrome,4.938331983,0.110552167,YOUTH,0,experimental,31,2432.6,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every photographer clearly should have cancelled the subscription, claims The Telegraph.",1
31,1,863.6,1,2,54,UNREL,AFTER-V,3.296803811,9,Chrome,3.689125491,0.137191468,BASIL,1,experimental,40,1600.5,UNREL-AFTER-V,MacIntel,"Given the change in the law, every informant obviously should have examined the contract, mentions The Times.",1
31,1,963.6,0,2,56,NONCE,AFTER-V,3.949644483,9,Chrome,NA,NA,GLOMP,0,experimental,41,1200.2,NONCE-AFTER-V,MacIntel,"Given the change in the law, every conductor clearly should have avoided the behaviour, mentions The Independent.",1
31,1,850.3,1,2,58,REL,AFTER-VP,2.442833304,8,Chrome,4.677271228,0.469866532,GUEST,1,experimental,60,1833.9,REL-AFTER-VP,MacIntel,"Given the change in the law, every hotelier clearly should have made the transition, says The Guardian.",1
31,1,856.3,0,2,59,UNREL,AFTER-VP,3.496627781,10,Chrome,4.453364025,0.066770659,PIANO,0,experimental,19,3500.5,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every advertiser obviously should have accepted the blame, suggests The Telegraph.",1
31,1,734.4000000000001,0,2,61,UNREL,AFTER-V,4.510372539,8,Chrome,3.930373842,0.410938427,BERRY,0,experimental,58,1382,UNREL-AFTER-V,MacIntel,"Given the change in the law, every producer obviously should have addressed the inequality, says The Times.",1
31,1,1548,0,2,65,REL,AFTER-V,3.407217937,7,Chrome,4.147611827,0.387145282,DRAIN,0,experimental,21,1133.8,REL-AFTER-V,MacIntel,"Given the change in the law, every plumber definitely should have renewed the insurance, suggests The BBC.",1
31,1,914.3,0,2,67,NONCE,AFTER-V,3.223196377,7,Chrome,NA,NA,YULBS,0,experimental,47,1183.6,NONCE-AFTER-V,MacIntel,"Given the change in the law, every stylist certainly should have read the guidance, mentions The Independent.",1
31,1,1023.0999999999999,0,2,68,UNREL,AFTER-VP,4.141850119,8,Chrome,3.39835149,0.049636608,SLANG,0,experimental,7,2667,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every investor definitely should have updated the protocol, reports The Telegraph.",1
31,1,782.4,0,2,69,UNREL,AFTER-VP,3.570916411,9,Chrome,3.990911755,0.039438298,BRIDE,0,experimental,55,1802.5,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every physicist definitely should have interrupted the meeting, says The Telegraph.",1
31,1,813.2,0,2,74,UNREL,AFTER-V,3.506495478,6,Chrome,4.416076472,0.282091996,GLOBE,0,experimental,52,1399.8999999999999,UNREL-AFTER-V,MacIntel,"Given the change in the law, every brewer clearly should have warned the supplier, says The Times.",1
31,1,1397.3999999999999,0,2,75,UNREL,AFTER-VP,3.659160937,8,Chrome,4.273577104,0.146049347,ALARM,0,experimental,49,2902.1,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every examiner certainly should have enforced the rule, says The Telegraph.",1
31,1,970.4000000000001,1,2,77,NONCE,AFTER-VP,3.331052745,7,Chrome,NA,NA,DWERT,1,experimental,14,2600.2000000000003,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every midwife clearly should have taken the initiative, suggests The Sun.",1
31,1,864.6,0,2,78,UNREL,AFTER-VP,4.870998895,7,Chrome,4.138893633,0.046719131,OLIVE,0,experimental,13,2300.3,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every teacher definitely should have rejected the deal, suggests The Telegraph.",1
31,1,781.3,1,2,81,UNREL,AFTER-VP,4.054597373,7,Chrome,3.463204461,0.239131041,CADET,1,experimental,1,1968.3,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every surgeon certainly should have undertaken the training, reports The Telegraph.",1
31,1,931.1,0,2,82,NONCE,AFTER-V,3.590390365,7,Chrome,NA,NA,NULSE,0,experimental,17,1267.5,NONCE-AFTER-V,MacIntel,"Given the change in the law, every butcher definitely should have retained the receipt, suggests The Independent.",1
31,1,819.6999999999999,0,2,83,REL,AFTER-VP,5.005747312,9,Chrome,4.515522967,0.125759944,BONUS,0,experimental,18,2166.2,REL-AFTER-VP,MacIntel,"Given the change in the law, every executive clearly should have paid the fine, suggests The Guardian.",1
31,1,747.9,0,2,84,UNREL,AFTER-V,3.734240866,10,Chrome,3.567262547,0.101478916,STUNT,0,experimental,4,1150.9,UNREL-AFTER-V,MacIntel,"Given the change in the law, every accountant clearly should have disclosed the information, reports The Times.",1
31,1,885.4,0,2,85,NONCE,AFTER-V,3.316655402,8,Chrome,NA,NA,DIRPS,0,experimental,5,1066.3,NONCE-AFTER-V,MacIntel,"Given the change in the law, every importer certainly should have returned the paperwork, reports The Independent.",1
31,1,802.1,1,2,86,REL,AFTER-V,2.459390987,7,Chrome,4.20061812,0.241572992,DAIRY,1,experimental,57,1251.2,REL-AFTER-V,MacIntel,"Given the change in the law, every milkman certainly should have involved the union, says The BBC.",1
31,1,783.2,0,2,87,REL,AFTER-V,4.042783642,7,Chrome,4.255257406,0.647438362,BRICK,0,experimental,9,1867.1,REL-AFTER-V,MacIntel,"Given the change in the law, every builder certainly should have filed the report, reports The BBC.",1
31,1,746.5,1,2,90,REL,AFTER-V,3.541556206,8,Chrome,5.026411782,0.501397476,PLANT,1,experimental,45,2185.1,REL-AFTER-V,MacIntel,"Given the change in the law, every gardener clearly should have verified the claim, mentions The BBC.",1
31,1,783.9000000000001,0,2,91,UNREL,AFTER-V,3.571960851,11,Chrome,4.74479794,0.069182129,INDEX,0,experimental,28,1099,UNREL-AFTER-V,MacIntel,"Given the change in the law, every broadcaster definitely should have rectified the situation, claims The Times.",1
31,1,1052.2,1,2,93,NONCE,AFTER-VP,4.166816978,8,Chrome,NA,NA,BRURL,1,experimental,20,2416.7000000000003,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every activist certainly should have claimed the compensation, suggests The Sun.",1
31,1,846.0999999999999,0,2,97,REL,AFTER-V,3.784228166,8,Chrome,4.550270351,0.656811439,WHEEL,0,experimental,39,1701.2,REL-AFTER-V,MacIntel,"Given the change in the law, every mechanic certainly should have destroyed the data, mentions The BBC.",1
31,1,831.2,1,2,102,NONCE,AFTER-V,3.827345184,7,Chrome,NA,NA,NIRCH,1,experimental,53,1434.1,NONCE-AFTER-V,MacIntel,"Given the change in the law, every dentist certainly should have asked the question, says The Independent.",1
31,1,782.3,0,2,103,REL,AFTER-V,3.484128918,6,Chrome,4.713931387,0.821285068,HORSE,0,experimental,15,1150.1999999999998,REL-AFTER-V,MacIntel,"Given the change in the law, every jockey obviously should have abandoned the practice, suggests The BBC.",1
31,1,751.1,0,2,107,REL,AFTER-VP,4.460251055,8,Chrome,5.302678942,0.365606156,STAFF,0,experimental,12,2951.1,REL-AFTER-VP,MacIntel,"Given the change in the law, every employer clearly should have borne the brunt, reports The Guardian.",1
31,1,765.5999999999999,0,2,108,UNREL,AFTER-VP,3.499480888,9,Chrome,3.900709192,0.110577655,SALON,0,experimental,37,2934.1,UNREL-AFTER-VP,MacIntel,"Given the change in the law, every biologist clearly should have replaced the equipment, mentions The Telegraph.",1
31,1,6515.6,1,2,110,REL,AFTER-V,4.528661332,8,Chrome,4.773777517,0.358177388,STEEL,1,experimental,33,1583.3,REL-AFTER-V,MacIntel,"Given the change in the law, every engineer obviously should have forseen the issue, claims The BBC.",1
31,1,1033.9,0,2,111,NONCE,AFTER-VP,4.271877839,7,Chrome,NA,NA,ROKES,0,experimental,44,2400.7000000000003,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every soldier obviously should have raised the concern, mentions The Sun.",1
31,1,984.1999999999999,0,2,112,NONCE,AFTER-VP,3.603458685,5,Chrome,NA,NA,PIVED,0,experimental,8,2050.3999999999996,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every boxer clearly should have informed the association, reports The Sun.",1
31,1,1634.7,0,2,115,NONCE,AFTER-V,2.935126552,6,Chrome,NA,NA,DROWL,0,experimental,29,984.6,NONCE-AFTER-V,MacIntel,"Given the change in the law, every funder obviously should have released the document, claims The Independent.",1
31,1,1336.9,1,2,116,REL,AFTER-VP,3.147773871,9,Chrome,5.105996143,0.229315858,BLOOD,1,experimental,36,2017.1999999999998,REL-AFTER-VP,MacIntel,"Given the change in the law, every paramedic definitely should have joined the protest, claims The Guardian.",1
31,1,864.5,0,2,119,REL,AFTER-VP,2.954817735,7,Chrome,4.107372874,0.44493658,STAMP,0,experimental,54,3151.3,REL-AFTER-VP,MacIntel,"Given the change in the law, every postman obviously should have consulted the website, says The Guardian.",1
31,1,919,0,2,3,UNREL,AFTER-VP,3.506495478,6,Firefox,4.416076472,0.282091996,GLOBE,0,experimental,52,2748,UNREL-AFTER-VP,Win32,"Given the change in the law, every brewer clearly should have warned the supplier, says The Times.",2
31,1,977,0,2,8,UNREL,AFTER-VP,4.510372539,8,Firefox,3.930373842,0.410938427,BERRY,0,experimental,58,2728,UNREL-AFTER-VP,Win32,"Given the change in the law, every producer obviously should have addressed the inequality, says The Times.",2
31,1,923,0,2,10,REL,AFTER-VP,3.541556206,8,Firefox,5.026411782,0.501397476,PLANT,1,experimental,45,2547,REL-AFTER-VP,Win32,"Given the change in the law, every gardener clearly should have verified the claim, mentions The BBC.",2
31,1,1156,0,2,11,NONCE,AFTER-V,3.603458685,5,Firefox,NA,NA,PIVED,0,experimental,8,1725,NONCE-AFTER-V,Win32,"Given the change in the law, every boxer clearly should have informed the association, reports The Sun.",2
31,1,1259,0,2,13,NONCE,AFTER-VP,3.316655402,8,Firefox,NA,NA,DIRPS,0,experimental,5,2827,NONCE-AFTER-VP,Win32,"Given the change in the law, every importer certainly should have returned the paperwork, reports The Independent.",2
31,1,1043,1,2,17,NONCE,AFTER-V,4.166816978,8,Firefox,NA,NA,BRURL,1,experimental,20,1884,NONCE-AFTER-V,Win32,"Given the change in the law, every activist certainly should have claimed the compensation, suggests The Sun.",2
31,1,843,1,2,18,REL,AFTER-V,3.927682114,9,Firefox,5.108336861,0.581022535,STAGE,1,experimental,6,1425,REL-AFTER-V,Win32,"Given the change in the law, every performer obviously should have signed the petition, reports The Guardian.",2
31,1,819,0,2,19,REL,AFTER-VP,4.257983625,9,Firefox,4.604307777,0.65194005,TOWER,0,experimental,51,2025,REL-AFTER-VP,Win32,"Given the change in the law, every architect definitely should have extended the deadline, says The BBC.",2
31,1,1440,0,2,20,NONCE,AFTER-V,4.271877839,7,Firefox,NA,NA,ROKES,0,experimental,44,1925,NONCE-AFTER-V,Win32,"Given the change in the law, every soldier obviously should have raised the concern, mentions The Sun.",2
31,1,878,1,2,21,REL,AFTER-V,2.442833304,8,Firefox,4.677271228,0.469866532,GUEST,1,experimental,60,1605,REL-AFTER-V,Win32,"Given the change in the law, every hotelier clearly should have made the transition, says The Guardian.",2
31,1,784,0,2,22,REL,AFTER-VP,3.484128918,6,Firefox,4.713931387,0.821285068,HORSE,0,experimental,15,2727,REL-AFTER-VP,Win32,"Given the change in the law, every jockey obviously should have abandoned the practice, suggests The BBC.",2
31,1,1025,0,2,23,NONCE,AFTER-VP,3.223196377,7,Firefox,NA,NA,YULBS,0,experimental,47,2407,NONCE-AFTER-VP,Win32,"Given the change in the law, every stylist certainly should have read the guidance, mentions The Independent.",2
31,1,846,0,2,26,NONCE,AFTER-V,4.189108375,6,Firefox,NA,NA,GLIRM,0,experimental,32,1664,NONCE-AFTER-V,Win32,"Given the change in the law, every farmer definitely should have condemned the behaviour, claims The Sun.",2
31,1,1279,0,2,27,REL,AFTER-V,4.460251055,8,Firefox,5.302678942,0.365606156,STAFF,0,experimental,12,1444,REL-AFTER-V,Win32,"Given the change in the law, every employer clearly should have borne the brunt, reports The Guardian.",2
31,1,1123,0,2,28,NONCE,AFTER-VP,3.590390365,7,Firefox,NA,NA,NULSE,0,experimental,17,2386,NONCE-AFTER-VP,Win32,"Given the change in the law, every butcher definitely should have retained the receipt, suggests The Independent.",2
31,1,1040,1,2,29,REL,AFTER-V,3.147773871,9,Firefox,5.105996143,0.229315858,BLOOD,1,experimental,36,1645,REL-AFTER-V,Win32,"Given the change in the law, every paramedic definitely should have joined the protest, claims The Guardian.",2
31,1,716,0,2,31,UNREL,AFTER-V,3.570916411,9,Firefox,3.990911755,0.039438298,BRIDE,0,experimental,55,1384,UNREL-AFTER-V,Win32,"Given the change in the law, every physicist definitely should have interrupted the meeting, says The Telegraph.",2
31,1,967,0,2,33,REL,AFTER-V,2.954817735,7,Firefox,4.107372874,0.44493658,STAMP,0,experimental,54,1465,REL-AFTER-V,Win32,"Given the change in the law, every postman obviously should have consulted the website, says The Guardian.",2
31,1,929,0,2,35,NONCE,AFTER-V,3.671694735,6,Firefox,NA,NA,MAFTS,0,experimental,38,1384,NONCE-AFTER-V,Win32,"Given the change in the law, every sailor definitely should have known the risk, mentions The Sun.",2
31,1,979,1,2,38,NONCE,AFTER-VP,3.827345184,7,Firefox,NA,NA,NIRCH,1,experimental,53,2346,NONCE-AFTER-VP,Win32,"Given the change in the law, every dentist certainly should have asked the question, says The Independent.",2
31,1,937,0,2,46,NONCE,AFTER-V,3.485497116,5,Firefox,NA,NA,BESKS,0,experimental,26,1745,NONCE-AFTER-V,Win32,"Given the change in the law, every vicar certainly should have obeyed the decision, claims The Sun.",2
31,1,996,0,2,47,UNREL,AFTER-VP,3.571960851,11,Firefox,4.74479794,0.069182129,INDEX,0,experimental,28,2528,UNREL-AFTER-VP,Win32,"Given the change in the law, every broadcaster definitely should have rectified the situation, claims The Times.",2
31,1,875,1,2,48,UNREL,AFTER-V,4.054597373,7,Firefox,3.463204461,0.239131041,CADET,1,experimental,1,2249,UNREL-AFTER-V,Win32,"Given the change in the law, every surgeon certainly should have undertaken the training, reports The Telegraph.",2
31,1,985,0,2,50,UNREL,AFTER-VP,3.681799882,10,Firefox,4.022054607,-3.5711e-5,TRUNK,0,experimental,46,2707,UNREL-AFTER-VP,Win32,"Given the change in the law, every footballer definitely should have told the truth, mentions The Times.",2
31,1,1159,0,2,53,UNREL,AFTER-V,3.96226586,7,Firefox,3.755853299,0.012195619,MODEM,0,experimental,25,1423,UNREL-AFTER-V,Win32,"Given the change in the law, every athlete obviously should have declared the affiliation, claims The Telegraph.",2
31,1,1442,0,2,54,NONCE,AFTER-V,4.104575844,10,Firefox,NA,NA,QUIBS,0,experimental,2,1504,NONCE-AFTER-V,Win32,"Given the change in the law, every politician obviously should have upheld the change, reports The Sun.",2
31,1,678,0,2,56,UNREL,AFTER-V,3.499480888,9,Firefox,3.900709192,0.110577655,SALON,0,experimental,37,1507,UNREL-AFTER-V,Win32,"Given the change in the law, every biologist clearly should have replaced the equipment, mentions The Telegraph.",2
31,1,1098,0,2,59,UNREL,AFTER-V,3.496627781,10,Firefox,4.453364025,0.066770659,PIANO,0,experimental,19,1223,UNREL-AFTER-V,Win32,"Given the change in the law, every advertiser obviously should have accepted the blame, suggests The Telegraph.",2
31,1,1002.9999999999999,0,2,61,UNREL,AFTER-V,3.001120593,6,Firefox,3.930647709,0.092758339,TUTOR,0,experimental,43,1162,UNREL-AFTER-V,Win32,"Given the change in the law, every grocer certainly should have vetoed the proposal, mentions The Telegraph.",2
31,1,805,1,2,62,REL,AFTER-VP,2.459390987,7,Firefox,4.20061812,0.241572992,DAIRY,1,experimental,57,1927,REL-AFTER-VP,Win32,"Given the change in the law, every milkman certainly should have involved the union, says The BBC.",2
31,1,1026,0,2,63,REL,AFTER-V,4.33783738,9,Firefox,5.230293913,0.359043466,PAPER,0,experimental,30,1043,REL-AFTER-V,Win32,"Given the change in the law, every publisher certainly should have defined the term, claims The Guardian.",2
31,1,916,0,2,64,UNREL,AFTER-V,4.141850119,8,Firefox,3.39835149,0.049636608,SLANG,0,experimental,7,1045,UNREL-AFTER-V,Win32,"Given the change in the law, every investor definitely should have updated the protocol, reports The Telegraph.",2
31,1,898,0,2,65,UNREL,AFTER-VP,3.651952199,6,Firefox,4.189781038,0.169582503,TRIBE,0,experimental,22,2045,UNREL-AFTER-VP,Win32,"Given the change in the law, every barber clearly should have heeded the advice, suggests The Times.",2
31,1,1479,0,2,66,NONCE,AFTER-VP,2.935126552,6,Firefox,NA,NA,DROWL,0,experimental,29,2125,NONCE-AFTER-VP,Win32,"Given the change in the law, every funder obviously should have released the document, claims The Independent.",2
31,1,1026,1,2,68,UNREL,AFTER-VP,3.296803811,9,Firefox,3.689125491,0.137191468,BASIL,1,experimental,40,1968,UNREL-AFTER-VP,Win32,"Given the change in the law, every informant obviously should have examined the contract, mentions The Times.",2
31,1,1000,0,2,70,UNREL,AFTER-VP,2.761427779,7,Firefox,4.205675385,0.042865261,RADAR,0,experimental,34,2007.0000000000002,UNREL-AFTER-VP,Win32,"Given the change in the law, every caterer certainly should have amended the wording, claims The Times.",2
31,1,1182,0,2,71,NONCE,AFTER-VP,3.563555912,8,Firefox,NA,NA,NERNS,0,experimental,59,1506,NONCE-AFTER-VP,Win32,"Given the change in the law, every commuter definitely should have reported the matter, says The Independent.",2
31,1,1098,1,2,72,REL,AFTER-VP,4.064504628,7,Firefox,3.354276001,0.363666985,BROOM,1,experimental,27,1364,REL-AFTER-VP,Win32,"Given the change in the law, every cleaner clearly should have discarded the item, claims The BBC.",2
31,1,968,0,2,74,UNREL,AFTER-VP,3.734240866,10,Firefox,3.567262547,0.101478916,STUNT,0,experimental,4,3248,UNREL-AFTER-VP,Win32,"Given the change in the law, every accountant clearly should have disclosed the information, reports The Times.",2
31,1,1096,0,2,76,NONCE,AFTER-V,4.438372257,6,Firefox,NA,NA,GELPS,0,experimental,56,1504,NONCE-AFTER-V,Win32,"Given the change in the law, every singer clearly should have sued the organiser, says The Sun.",2
31,1,1059,0,2,77,REL,AFTER-VP,4.042783642,7,Firefox,4.255257406,0.647438362,BRICK,0,experimental,9,2267,REL-AFTER-VP,Win32,"Given the change in the law, every builder certainly should have filed the report, reports The BBC.",2
31,1,1103,0,2,80,NONCE,AFTER-VP,3.949644483,9,Firefox,NA,NA,GLOMP,0,experimental,41,2326,NONCE-AFTER-VP,Win32,"Given the change in the law, every conductor clearly should have avoided the behaviour, mentions The Independent.",2
31,1,1043,0,2,81,REL,AFTER-V,5.617442386,7,Firefox,5.350430177,0.291918533,BOARD,0,experimental,42,1384,REL-AFTER-V,Win32,"Given the change in the law, every company definitely should have announced the appointment, mentions The Guardian.",2
31,1,1276,0,2,82,NONCE,AFTER-V,3.672348826,8,Firefox,NA,NA,YURFS,0,experimental,50,1524,NONCE-AFTER-V,Win32,"Given the change in the law, every comedian obviously should have considered the damage, says The Sun.",2
31,1,996,0,2,84,REL,AFTER-VP,3.407217937,7,Firefox,4.147611827,0.387145282,DRAIN,0,experimental,21,2146,REL-AFTER-VP,Win32,"Given the change in the law, every plumber definitely should have renewed the insurance, suggests The BBC.",2
31,1,1137,0,2,85,NONCE,AFTER-VP,3.583221526,11,Firefox,NA,NA,GELKS,0,experimental,35,1805,NONCE-AFTER-VP,Win32,"Given the change in the law, every commentator clearly should have condoned the sanction, claims The Independent.",2
31,1,855,0,2,87,UNREL,AFTER-V,4.870998895,7,Firefox,4.138893633,0.046719131,OLIVE,0,experimental,13,1223,UNREL-AFTER-V,Win32,"Given the change in the law, every teacher definitely should have rejected the deal, suggests The Telegraph.",2
31,1,1038,0,2,89,REL,AFTER-V,4.78505379,8,Firefox,4.668647528,0.229238232,ESSAY,0,experimental,24,1404,REL-AFTER-V,Win32,"Given the change in the law, every graduate certainly should have contacted the council, suggests The Guardian.",2
31,1,975,0,2,97,REL,AFTER-VP,5.294762043,8,Firefox,5.588746199,0.120705124,POWER,0,experimental,3,1706,REL-AFTER-VP,Win32,"Given the change in the law, every director definitely should have reconsidered the offer, reports The BBC.",2
31,1,1040,0,2,98,REL,AFTER-VP,3.784228166,8,Firefox,4.550270351,0.656811439,WHEEL,0,experimental,39,1846,REL-AFTER-VP,Win32,"Given the change in the law, every mechanic certainly should have destroyed the data, mentions The BBC.",2
31,1,885,0,2,99,UNREL,AFTER-V,3.659160937,8,Firefox,4.273577104,0.146049347,ALARM,0,experimental,49,1344,UNREL-AFTER-V,Win32,"Given the change in the law, every examiner certainly should have enforced the rule, says The Telegraph.",2
31,1,941,1,2,100,REL,AFTER-VP,4.528661332,8,Firefox,4.773777517,0.358177388,STEEL,1,experimental,33,1806,REL-AFTER-VP,Win32,"Given the change in the law, every engineer obviously should have forseen the issue, claims The BBC.",2
31,1,995,1,2,101,UNREL,AFTER-VP,5.075778593,7,Firefox,3.413519289,0.055355864,STUMP,1,experimental,10,1686,UNREL-AFTER-VP,Win32,"Given the change in the law, every manager obviously should have refuted the rise, reports The Times.",2
31,1,1034,0,2,103,UNREL,AFTER-V,4.216284055,12,Firefox,4.938331983,0.110552167,YOUTH,0,experimental,31,1465,UNREL-AFTER-V,Win32,"Given the change in the law, every photographer clearly should have cancelled the subscription, claims The Telegraph.",2
31,1,1067,1,2,109,NONCE,AFTER-VP,2.794650654,7,Firefox,NA,NA,DOOPS,1,experimental,23,1683,NONCE-AFTER-VP,Win32,"Given the change in the law, every trucker obviously should have notified the firm, suggests The Independent.",2
